username,model,chosen_number,reason,reasoning_tokens,finish_reason,elapsed_seconds,succeeded
clumsybassdropper,openai/gpt-5.6-luna,11,,214,stop,14.355,true
fucksasuke,openai/gpt-5.6-luna,19,,171,stop,7.141,true
threwnawayed,openai/gpt-5.6-luna,19,,322,stop,9.283,true
Justin_Bligh,openai/gpt-5.6-luna,19,,219,stop,7.724,true
AngelKittichik,openai/gpt-5.6-luna,19,,122,stop,12.343,true
hobbang819,openai/gpt-5.6-luna,19,,0,stop,6.384,true
thehacksmith,openai/gpt-5.6-luna,19,,289,stop,15.174,true
thirdangletheory,openai/gpt-5.6-luna,19,,0,stop,6.031,true
nowalkietalkies,openai/gpt-5.6-luna,19,,0,stop,4.439,true
bezimya74,openai/gpt-5.6-luna,19,,251,stop,9.480,true
rednaxela26,openai/gpt-5.6-luna,19,,76,stop,6.799,true
EnergizedNuke,openai/gpt-5.6-luna,19,,0,stop,4.339,true
OUScotty,openai/gpt-5.6-luna,19,,391,stop,11.824,true
Ares9719,openai/gpt-5.6-luna,19,,208,stop,9.290,true
nothing-feels-good,openai/gpt-5.6-luna,11,,281,stop,9.313,true
catholicismisascam,openai/gpt-5.6-luna,11,,174,stop,14.692,true
ca_devotee,openai/gpt-5.6-luna,19,,154,stop,8.575,true
Jibzzy,openai/gpt-5.6-luna,19,,231,stop,9.113,true
kanahl,openai/gpt-5.6-luna,19,,207,stop,8.780,true
Camcongab,openai/gpt-5.6-luna,19,,157,stop,8.683,true
