condition,source_file,username,model,chosen_number,reason,reasoning_tokens,finish_reason,elapsed_seconds,succeeded
cond0,anthropic_claude-sonnet-5_cond0.csv,clumsybassdropper,anthropic/claude-sonnet-5,17,,0,stop,5.315,true
cond0,anthropic_claude-sonnet-5_cond0.csv,fucksasuke,anthropic/claude-sonnet-5,17,,0,stop,5.189,true
cond0,anthropic_claude-sonnet-5_cond0.csv,threwnawayed,anthropic/claude-sonnet-5,17,,0,stop,4.951,true
cond0,anthropic_claude-sonnet-5_cond0.csv,Justin_Bligh,anthropic/claude-sonnet-5,17,,0,stop,5.359,true
cond0,anthropic_claude-sonnet-5_cond0.csv,AngelKittichik,anthropic/claude-sonnet-5,17,,0,stop,4.830,true
cond0,anthropic_claude-sonnet-5_cond0.csv,hobbang819,anthropic/claude-sonnet-5,17,,0,stop,5.200,true
cond0,anthropic_claude-sonnet-5_cond0.csv,thehacksmith,anthropic/claude-sonnet-5,17,,0,stop,4.984,true
cond0,anthropic_claude-sonnet-5_cond0.csv,thirdangletheory,anthropic/claude-sonnet-5,17,,0,stop,4.809,true
cond0,anthropic_claude-sonnet-5_cond0.csv,nowalkietalkies,anthropic/claude-sonnet-5,17,,0,stop,5.177,true
cond0,anthropic_claude-sonnet-5_cond0.csv,bezimya74,anthropic/claude-sonnet-5,19,,0,stop,5.066,true
cond0,anthropic_claude-sonnet-5_cond0.csv,rednaxela26,anthropic/claude-sonnet-5,17,,0,stop,5.006,true
cond0,anthropic_claude-sonnet-5_cond0.csv,EnergizedNuke,anthropic/claude-sonnet-5,17,,0,stop,5.191,true
cond0,anthropic_claude-sonnet-5_cond0.csv,OUScotty,anthropic/claude-sonnet-5,19,,0,stop,4.998,true
cond0,anthropic_claude-sonnet-5_cond0.csv,Ares9719,anthropic/claude-sonnet-5,17,,0,stop,4.952,true
cond0,anthropic_claude-sonnet-5_cond0.csv,nothing-feels-good,anthropic/claude-sonnet-5,17,,0,stop,5.563,true
cond0,anthropic_claude-sonnet-5_cond0.csv,catholicismisascam,anthropic/claude-sonnet-5,17,,0,stop,5.208,true
cond0,anthropic_claude-sonnet-5_cond0.csv,ca_devotee,anthropic/claude-sonnet-5,17,,0,stop,5.353,true
cond0,anthropic_claude-sonnet-5_cond0.csv,Jibzzy,anthropic/claude-sonnet-5,19,,0,stop,5.342,true
cond0,anthropic_claude-sonnet-5_cond0.csv,kanahl,anthropic/claude-sonnet-5,17,,0,stop,5.320,true
cond0,anthropic_claude-sonnet-5_cond0.csv,Camcongab,anthropic/claude-sonnet-5,17,,0,stop,5.515,true
cond1,anthropic_claude-sonnet-5_cond1.csv,clumsybassdropper,anthropic/claude-sonnet-5,17,,0,stop,5.291,true
cond1,anthropic_claude-sonnet-5_cond1.csv,fucksasuke,anthropic/claude-sonnet-5,17,,0,stop,5.812,true
cond1,anthropic_claude-sonnet-5_cond1.csv,threwnawayed,anthropic/claude-sonnet-5,17,,0,stop,4.956,true
cond1,anthropic_claude-sonnet-5_cond1.csv,Justin_Bligh,anthropic/claude-sonnet-5,17,,0,stop,5.685,true
cond1,anthropic_claude-sonnet-5_cond1.csv,AngelKittichik,anthropic/claude-sonnet-5,17,,0,stop,5.068,true
cond1,anthropic_claude-sonnet-5_cond1.csv,hobbang819,anthropic/claude-sonnet-5,17,,0,stop,4.867,true
cond1,anthropic_claude-sonnet-5_cond1.csv,thehacksmith,anthropic/claude-sonnet-5,17,,0,stop,4.867,true
cond1,anthropic_claude-sonnet-5_cond1.csv,thirdangletheory,anthropic/claude-sonnet-5,17,,0,stop,5.329,true
cond1,anthropic_claude-sonnet-5_cond1.csv,nowalkietalkies,anthropic/claude-sonnet-5,17,,0,stop,5.151,true
cond1,anthropic_claude-sonnet-5_cond1.csv,bezimya74,anthropic/claude-sonnet-5,17,,0,stop,5.130,true
cond1,anthropic_claude-sonnet-5_cond1.csv,rednaxela26,anthropic/claude-sonnet-5,17,,0,stop,4.978,true
cond1,anthropic_claude-sonnet-5_cond1.csv,EnergizedNuke,anthropic/claude-sonnet-5,17,,0,stop,5.737,true
cond1,anthropic_claude-sonnet-5_cond1.csv,OUScotty,anthropic/claude-sonnet-5,17,,0,stop,5.284,true
cond1,anthropic_claude-sonnet-5_cond1.csv,Ares9719,anthropic/claude-sonnet-5,17,,0,stop,5.967,true
cond1,anthropic_claude-sonnet-5_cond1.csv,nothing-feels-good,anthropic/claude-sonnet-5,19,,0,stop,5.100,true
cond1,anthropic_claude-sonnet-5_cond1.csv,catholicismisascam,anthropic/claude-sonnet-5,19,,0,stop,5.065,true
cond1,anthropic_claude-sonnet-5_cond1.csv,ca_devotee,anthropic/claude-sonnet-5,17,,0,stop,4.915,true
cond1,anthropic_claude-sonnet-5_cond1.csv,Jibzzy,anthropic/claude-sonnet-5,17,,0,stop,4.918,true
cond1,anthropic_claude-sonnet-5_cond1.csv,kanahl,anthropic/claude-sonnet-5,17,,0,stop,5.902,true
cond1,anthropic_claude-sonnet-5_cond1.csv,Camcongab,anthropic/claude-sonnet-5,19,,0,stop,5.351,true
cond2,anthropic_claude-sonnet-5_cond2.csv,clumsybassdropper,anthropic/claude-sonnet-5,19,"As clumsybassdropper, I'm not a hyper-rational game theorist grinding through infinite iterations of 'I think you think I think.' I go with gut instinct and a bit of playful psychology. Most people's first instinct is to grab high, so I'd expect a lot of players to anchor near 20 hoping for the big number, but the smart money undercuts that instinct by one. Since this is round one with no history, I'll assume my opponent is somewhat naive/greedy and will lean toward the higher end of the range rather than deep strategic undercutting. So I won't go full 17 (the classic theoretical endpoint from iterated reasoning) since that assumes too much sophistication from a random opponent. I'll pick a number that's high enough to get a solid payout on its own but still positioned to beat someone anchoring near the top.",0,stop,8.918,true
cond2,anthropic_claude-sonnet-5_cond2.csv,fucksasuke,anthropic/claude-sonnet-5,16,"This is the classic Kaw-Nagel 11-20 money request game. Purely rational game theory says to iteratively undercut down to 11, but real opponents rarely play that deep - most anchor around 17-20 or think one or two steps ahead. As fucksasuke, I'm a bit of a chaotic, edgy gremlin who likes to overthink just enough to outsmart lazy thinkers but not spiral into full backward induction. I expect the other player to guess something in the high teens (like 19 or 20) or try to be clever with 17. I'll go one step below the 'obvious clever' choice to snipe them while still keeping my base request decent.",0,stop,8.176,true
cond2,anthropic_claude-sonnet-5_cond2.csv,threwnawayed,anthropic/claude-sonnet-5,16,"This is the classic 11-20 money request game. Purely rational game theory says the only Nash equilibrium is everyone requesting 11, since any higher number can be undercut by one shekel. But in practice, most people don't reason all the way down to that equilibrium - they anchor on higher numbers and apply only a few levels of iterated reasoning ('I'll ask for 20, but others might think that and ask 19, so I'll ask 18...'). As someone who thinks strategically but pragmatically rather than purely theoretically, I expect my opponent to land somewhere in the upper-middle range, probably 15-18, since few people iterate all the way to the equilibrium. I want to pick a number that beats the most likely opponent choices by being one less than a common anchor point, while not going so low that I sacrifice too much base payoff if I'm wrong. I'll go with 16 - it's low enough to undercut typical 'level-2' reasoners landing on 17-18, but high enough to still get a solid payout if no one undercuts me.",0,stop,9.566,true
cond2,anthropic_claude-sonnet-5_cond2.csv,Justin_Bligh,anthropic/claude-sonnet-5,18,"I'm a practical, street-smart thinker rather than a game theorist who'd spiral into infinite regress logic (20, then 19 to beat 20, then 18 to beat that, etc.). Most people faced with this game don't out-think themselves into picking 11 - they anchor on high numbers because greed and simplicity win out, or they try one step of 'outsmarting' by picking just below 20. I expect the other player to either go for the max (20) or shave one off it (19). So I'll aim to land just below the common high anchor rather than chase the theoretical Nash spiral all the way down.",0,stop,7.691,true
