username,model,chosen_number,reason,reasoning_tokens,finish_reason,elapsed_seconds,succeeded
hobbang819,openai/gpt-oss-20b,19,,89,stop,3.821,true
thehacksmith,openai/gpt-oss-20b,15,,51,stop,3.104,true
thirdangletheory,openai/gpt-oss-20b,15,,51,stop,3.301,true
nowalkietalkies,openai/gpt-oss-20b,15,,51,stop,3.458,true
bezimya74,openai/gpt-oss-20b,15,,51,stop,3.611,true
rednaxela26,openai/gpt-oss-20b,17,,48,stop,3.424,true
EnergizedNuke,openai/gpt-oss-20b,17,,48,stop,3.386,true
OUScotty,openai/gpt-oss-20b,19,,75,stop,4.069,true
Ares9719,openai/gpt-oss-20b,20,,70,stop,3.914,true
nothing-feels-good,openai/gpt-oss-20b,19,,75,stop,4.079,true
catholicismisascam,openai/gpt-oss-20b,15,,47,stop,3.708,true
ca_devotee,openai/gpt-oss-20b,15,,48,stop,3.652,true
Jibzzy,openai/gpt-oss-20b,12,,123,stop,4.909,true
kanahl,openai/gpt-oss-20b,15,,48,stop,3.612,true
Camcongab,openai/gpt-oss-20b,20,,77,stop,4.179,true
